fecha_hecho,prediccion_delitos,alcaldia_hecho,delito
2024-09-20,0.562774695748097,XOCHIMILCO,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-05-31,0.5,FUERA DE CDMX,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-30,0.5318014770746233,LA MAGDALENA CONTRERAS,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-30,0.5703134536752277,TLAHUAC,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-23,0.5313110351569321,MILPA ALTA,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-17,0.5009766829898581,CUAJIMALPA DE MORELOS,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2023-12-01,0.5,CDMX (INDETERMINADA),DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-28,0.5646782747108243,TLALPAN,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-30,0.5488677951247735,IZTAPALAPA,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-24,1.0746551026258029,GUSTAVO A. MADERO,ROBO A CASA HABITACION SIN VIOLENCIA
2024-10-01,0.8772211228645199,BENITO JUAREZ,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-30,0.6809153466182994,COYOACAN,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-28,0.6252462864326882,MIGUEL HIDALGO,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-20,0.8125425064991196,AZCAPOTZALCO,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-30,1.007820294504655,VENUSTIANO CARRANZA,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-22,0.9375637341354492,IZTACALCO,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-22,1.2921811379875419,ALVARO OBREGON,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-29,0.8454312653975004,CUAUHTEMOC,ROBO A CASA HABITACION SIN VIOLENCIA
2024-10-01,0.6615739772871627,XOCHIMILCO,ROBO A CASA HABITACION SIN VIOLENCIA
2023-03-11,0.5,FUERA DE CDMX,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-24,0.7561436469232494,LA MAGDALENA CONTRERAS,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-23,0.5185938052637767,TLAHUAC,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-24,0.5005494058277762,MILPA ALTA,ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-20,0.6252441406277325,CUAJIMALPA DE MORELOS,ROBO A CASA HABITACION SIN VIOLENCIA
2024-05-05,0.5,CDMX (INDETERMINADA),ROBO A CASA HABITACION SIN VIOLENCIA
2024-09-18,0.500244140858058,TLALPAN,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-24,0.5000002384185791,IZTAPALAPA,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-08-09,0.5039672854036326,GUSTAVO A. MADERO,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-08-31,0.5312501192092896,BENITO JUAREZ,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-16,0.5,COYOACAN,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-06-25,0.5000000000145519,MIGUEL HIDALGO,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-14,0.5,AZCAPOTZALCO,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-01,0.5,VENUSTIANO CARRANZA,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-07-16,0.5,IZTACALCO,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-21,0.5,ALVARO OBREGON,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-12,0.5156250000582361,CUAUHTEMOC,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-08-20,0.5000610388815403,XOCHIMILCO,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-08,0.5000000037398422,LA MAGDALENA CONTRERAS,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-07-23,0.500000000001819,TLAHUAC,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-10,0.5,MILPA ALTA,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-01-17,0.5,CUAJIMALPA DE MORELOS,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO
2024-09-27,0.5104990005497712,TLALPAN,LESIONES CULPOSAS
2024-10-01,0.5000000636941877,IZTAPALAPA,LESIONES CULPOSAS
2024-09-25,0.503967285404543,GUSTAVO A. MADERO,LESIONES CULPOSAS
2024-09-17,0.5000610947608948,BENITO JUAREZ,LESIONES CULPOSAS
2024-09-28,0.5156860351626307,COYOACAN,LESIONES CULPOSAS
2024-09-20,0.6328125000145519,MIGUEL HIDALGO,LESIONES CULPOSAS
2024-09-13,0.515625,AZCAPOTZALCO,LESIONES CULPOSAS
2024-10-01,0.5019531548023234,VENUSTIANO CARRANZA,LESIONES CULPOSAS
2024-09-13,0.5009822845459126,IZTACALCO,LESIONES CULPOSAS
2024-09-04,0.5634765774011612,ALVARO OBREGON,LESIONES CULPOSAS
2024-09-18,1.0039369321112348,CUAUHTEMOC,LESIONES CULPOSAS
2024-09-15,0.5000000093132293,XOCHIMILCO,LESIONES CULPOSAS
2024-09-07,0.5004961566306182,FUERA DE CDMX,LESIONES CULPOSAS
2024-09-23,0.5,LA MAGDALENA CONTRERAS,LESIONES CULPOSAS
2024-09-26,0.5,TLAHUAC,LESIONES CULPOSAS
2024-09-17,0.5022125319228545,MILPA ALTA,LESIONES CULPOSAS
2024-09-19,0.5000000000018191,CUAJIMALPA DE MORELOS,LESIONES CULPOSAS
2024-10-01,0.5890693981639876,CDMX (INDETERMINADA),LESIONES CULPOSAS
2024-09-28,0.8264789894212765,TLALPAN,ROBO A NEGOCIO CON VIOLENCIA
2024-09-27,0.9492616952269749,IZTAPALAPA,ROBO A NEGOCIO CON VIOLENCIA
2024-09-26,0.5007206575983241,GUSTAVO A. MADERO,ROBO A NEGOCIO CON VIOLENCIA
2024-09-24,0.5332572835469681,BENITO JUAREZ,ROBO A NEGOCIO CON VIOLENCIA
